time = 1.870359e-04, dt=1.396518e-06, e(0)=2.734995e+06
time = 1.884173e-04, dt=1.381457e-06, e(0)=2.727015e+06
time = 1.897880e-04, dt=1.370705e-06, e(0)=2.719154e+06
time = 1.911524e-04, dt=1.364359e-06, e(0)=2.711382e+06
time = 1.925150e-04, dt=1.362649e-06, e(0)=2.703666e+06
time = 1.938777e-04, dt=1.362649e-06, e(0)=2.695992e+06
time = 1.952403e-04, dt=1.362649e-06, e(0)=2.688355e+06
time = 1.966030e-04, dt=1.362649e-06, e(0)=2.680751e+06
time = 1.979656e-04, dt=1.362649e-06, e(0)=2.673177e+06
time = 1.993283e-04, dt=1.362649e-06, e(0)=2.665628e+06
time = 2.006909e-04, dt=1.362649e-06, e(0)=2.658102e+06
time = 2.021958e-04, dt=1.504859e-06, e(0)=2.649812e+06
time = 2.037007e-04, dt=1.504859e-06, e(0)=2.641543e+06
time = 2.052055e-04, dt=1.504859e-06, e(0)=2.633291e+06
time = 2.067104e-04, dt=1.504859e-06, e(0)=2.625053e+06
time = 2.082152e-04, dt=1.504859e-06, e(0)=2.616828e+06
time = 2.098994e-04, dt=1.684168e-06, e(0)=2.607634e+06
time = 2.115836e-04, dt=1.684168e-06, e(0)=2.598450e+06
time = 2.132677e-04, dt=1.684168e-06, e(0)=2.589276e+06
time = 2.149519e-04, dt=1.684168e-06, e(0)=2.580111e+06
time = 2.166361e-04, dt=1.684168e-06, e(0)=2.570954e+06
time = 2.183202e-04, dt=1.684168e-06, e(0)=2.561805e+06
time = 2.200044e-04, dt=1.684168e-06, e(0)=2.552665e+06
time = 2.216886e-04, dt=1.684168e-06, e(0)=2.543535e+06
time = 2.235582e-04, dt=1.869651e-06, e(0)=2.533410e+06
time = 2.254279e-04, dt=1.869651e-06, e(0)=2.523300e+06
time = 2.272975e-04, dt=1.869651e-06, e(0)=2.513210e+06
time = 2.291672e-04, dt=1.869651e-06, e(0)=2.503141e+06
time = 2.310368e-04, dt=1.869651e-06, e(0)=2.493099e+06
time = 2.329065e-04, dt=1.869651e-06, e(0)=2.483086e+06
time = 2.347761e-04, dt=1.869651e-06, e(0)=2.473108e+06
time = 2.366458e-04, dt=1.869651e-06, e(0)=2.463168e+06
time = 2.385154e-04, dt=1.869651e-06, e(0)=2.453272e+06
time = 2.403851e-04, dt=1.869651e-06, e(0)=2.443425e+06
time = 2.422547e-04, dt=1.869651e-06, e(0)=2.433631e+06
time = 2.441244e-04, dt=1.869651e-06, e(0)=2.423896e+06
time = 2.459940e-04, dt=1.869651e-06, e(0)=2.414225e+06
time = 2.478637e-04, dt=1.869651e-06, e(0)=2.404623e+06
time = 2.497334e-04, dt=1.869651e-06, e(0)=2.395096e+06
time = 2.516030e-04, dt=1.869651e-06, e(0)=2.385648e+06
time = 2.534727e-04, dt=1.869651e-06, e(0)=2.376284e+06
time = 2.553176e-04, dt=1.844941e-06, e(0)=2.367132e+06
time = 2.571280e-04, dt=1.810444e-06, e(0)=2.358239e+06
time = 2.589083e-04, dt=1.780237e-06, e(0)=2.349584e+06
time = 2.606627e-04, dt=1.754436e-06, e(0)=2.341145e+06
time = 2.623957e-04, dt=1.732943e-06, e(0)=2.332900e+06
time = 2.641122e-04, dt=1.716568e-06, e(0)=2.324826e+06
time = 2.658184e-04, dt=1.706186e-06, e(0)=2.316895e+06
time = 2.675204e-04, dt=1.701953e-06, e(0)=2.309080e+06
time = 2.692223e-04, dt=1.701953e-06, e(0)=2.301363e+06
time = 2.709243e-04, dt=1.701953e-06, e(0)=2.293746e+06
time = 2.726262e-04, dt=1.701953e-06, e(0)=2.286231e+06
time = 2.743282e-04, dt=1.701953e-06, e(0)=2.278820e+06
time = 2.760301e-04, dt=1.701953e-06, e(0)=2.271514e+06
time = 2.777321e-04, dt=1.701953e-06, e(0)=2.264315e+06
time = 2.796104e-04, dt=1.878349e-06, e(0)=2.256498e+06
time = 2.814888e-04, dt=1.878349e-06, e(0)=2.248812e+06
time = 2.833671e-04, dt=1.878349e-06, e(0)=2.241258e+06
time = 2.852455e-04, dt=1.878349e-06, e(0)=2.233836e+06
time = 2.871238e-04, dt=1.878349e-06, e(0)=2.226547e+06
time = 2.890022e-04, dt=1.878349e-06, e(0)=2.219389e+06
time = 2.910824e-04, dt=2.080251e-06, e(0)=2.211620e+06
time = 2.931627e-04, dt=2.080251e-06, e(0)=2.204010e+06
time = 2.952429e-04, dt=2.080251e-06, e(0)=2.196556e+06
time = 2.973232e-04, dt=2.080251e-06, e(0)=2.189258e+06
time = 2.996173e-04, dt=2.294084e-06, e(0)=2.181391e+06
time = 3.019075e-04, dt=2.290235e-06, e(0)=2.173718e+06
time = 3.041785e-04, dt=2.270973e-06, e(0)=2.166281e+06
time = 3.064395e-04, dt=2.261011e-06, e(0)=2.159042e+06
time = 3.086999e-04, dt=2.260432e-06, e(0)=2.151966e+06
time = 3.109603e-04, dt=2.260432e-06, e(0)=2.145043e+06
time = 3.132208e-04, dt=2.260432e-06, e(0)=2.138269e+06
time = 3.154812e-04, dt=2.260432e-06, e(0)=2.131636e+06
time = 3.177416e-04, dt=2.260432e-06, e(0)=2.125139e+06
time = 3.200021e-04, dt=2.260432e-06, e(0)=2.118771e+06
time = 3.222625e-04, dt=2.260432e-06, e(0)=2.112525e+06
time = 3.245229e-04, dt=2.260432e-06, e(0)=2.106394e+06
time = 3.267834e-04, dt=2.260432e-06, e(0)=2.100370e+06
time = 3.290438e-04, dt=2.260432e-06, e(0)=2.094449e+06
time = 3.313042e-04, dt=2.260432e-06, e(0)=2.088621e+06
time = 3.335647e-04, dt=2.260432e-06, e(0)=2.082881e+06
time = 3.358251e-04, dt=2.260432e-06, e(0)=2.077223e+06
time = 3.380855e-04, dt=2.260432e-06, e(0)=2.071638e+06
time = 3.403266e-04, dt=2.241120e-06, e(0)=2.066168e+06
time = 3.425225e-04, dt=2.195813e-06, e(0)=2.060867e+06
time = 3.446776e-04, dt=2.155162e-06, e(0)=2.055715e+06
time = 3.467971e-04, dt=2.119472e-06, e(0)=2.050693e+06
time = 3.488856e-04, dt=2.088535e-06, e(0)=2.045783e+06
time = 3.509488e-04, dt=2.063192e-06, e(0)=2.040966e+06
time = 3.529926e-04, dt=2.043763e-06, e(0)=2.036224e+06
time = 3.550229e-04, dt=2.030299e-06, e(0)=2.031538e+06
time = 3.570470e-04, dt=2.024155e-06, e(0)=2.026889e+06
time = 3.590712e-04, dt=2.024155e-06, e(0)=2.022258e+06
time = 3.610953e-04, dt=2.024155e-06, e(0)=2.017642e+06
time = 3.631195e-04, dt=2.024155e-06, e(0)=2.013041e+06
time = 3.651437e-04, dt=2.024155e-06, e(0)=2.008449e+06
time = 3.671678e-04, dt=2.024155e-06, e(0)=2.003866e+06
time = 3.691920e-04, dt=2.024155e-06, e(0)=1.999290e+06
time = 3.714213e-04, dt=2.229300e-06, e(0)=1.994254e+06
time = 3.736506e-04, dt=2.229300e-06, e(0)=1.989221e+06
time = 3.758799e-04, dt=2.229300e-06, e(0)=1.984190e+06
time = 3.781092e-04, dt=2.229300e-06, e(0)=1.979158e+06
time = 3.803385e-04, dt=2.229300e-06, e(0)=1.974124e+06
time = 3.825678e-04, dt=2.229300e-06, e(0)=1.969088e+06
time = 3.850568e-04, dt=2.489027e-06, e(0)=1.963459e+06
time = 3.875458e-04, dt=2.489027e-06, e(0)=1.957825e+06
time = 3.900348e-04, dt=2.489027e-06, e(0)=1.952185e+06
time = 3.925239e-04, dt=2.489027e-06, e(0)=1.946539e+06
time = 3.950129e-04, dt=2.489027e-06, e(0)=1.940888e+06
time = 3.975019e-04, dt=2.489027e-06, e(0)=1.935232e+06
time = 3.999910e-04, dt=2.489027e-06, e(0)=1.929573e+06
time = 4.024800e-04, dt=2.489027e-06, e(0)=1.923911e+06
time = 4.049690e-04, dt=2.489027e-06, e(0)=1.918249e+06
time = 4.074580e-04, dt=2.489027e-06, e(0)=1.912587e+06
time = 4.099471e-04, dt=2.489027e-06, e(0)=1.906928e+06
time = 4.124361e-04, dt=2.489027e-06, e(0)=1.901274e+06
time = 4.149251e-04, dt=2.489027e-06, e(0)=1.895627e+06
time = 4.174141e-04, dt=2.489027e-06, e(0)=1.889991e+06
time = 4.199032e-04, dt=2.489027e-06, e(0)=1.884367e+06
time = 4.223922e-04, dt=2.489027e-06, e(0)=1.878758e+06
time = 4.248812e-04, dt=2.489027e-06, e(0)=1.873167e+06
time = 4.273703e-04, dt=2.489027e-06, e(0)=1.867597e+06
time = 4.298593e-04, dt=2.489027e-06, e(0)=1.862051e+06
time = 4.323483e-04, dt=2.489027e-06, e(0)=1.856532e+06
time = 4.348373e-04, dt=2.489027e-06, e(0)=1.851042e+06
time = 4.373264e-04, dt=2.489027e-06, e(0)=1.845585e+06
time = 4.398154e-04, dt=2.489027e-06, e(0)=1.840164e+06
time = 4.423044e-04, dt=2.489027e-06, e(0)=1.834781e+06
time = 4.447934e-04, dt=2.489027e-06, e(0)=1.829440e+06
time = 4.472737e-04, dt=2.480282e-06, e(0)=1.824160e+06
time = 4.497130e-04, dt=2.439267e-06, e(0)=1.819013e+06
time = 4.521158e-04, dt=2.402819e-06, e(0)=1.813988e+06
time = 4.544873e-04, dt=2.371468e-06, e(0)=1.809075e+06
time = 4.568324e-04, dt=2.345150e-06, e(0)=1.804264e+06
time = 4.591563e-04, dt=2.323857e-06, e(0)=1.799544e+06
time = 4.614663e-04, dt=2.309970e-06, e(0)=1.794902e+06
time = 4.637702e-04, dt=2.303939e-06, e(0)=1.790322e+06
time = 4.660741e-04, dt=2.303939e-06, e(0)=1.785793e+06
time = 4.683781e-04, dt=2.303939e-06, e(0)=1.781316e+06
time = 4.706820e-04, dt=2.303939e-06, e(0)=1.776893e+06
time = 4.729860e-04, dt=2.303939e-06, e(0)=1.772524e+06
time = 4.752899e-04, dt=2.303939e-06, e(0)=1.768210e+06
time = 4.775938e-04, dt=2.303939e-06, e(0)=1.763952e+06
time = 4.801451e-04, dt=2.551291e-06, e(0)=1.759304e+06
time = 4.826964e-04, dt=2.551291e-06, e(0)=1.754726e+06
time = 4.852477e-04, dt=2.551291e-06, e(0)=1.750216e+06
time = 4.877990e-04, dt=2.551291e-06, e(0)=1.745776e+06
time = 4.903503e-04, dt=2.551291e-06, e(0)=1.741405e+06
time = 4.931722e-04, dt=2.821944e-06, e(0)=1.736653e+06
time = 4.959942e-04, dt=2.821944e-06, e(0)=1.731984e+06
time = 4.988161e-04, dt=2.821944e-06, e(0)=1.727398e+06
time = 5.016381e-04, dt=2.821944e-06, e(0)=1.722892e+06
time = 5.044600e-04, dt=2.821944e-06, e(0)=1.718465e+06
time = 5.072820e-04, dt=2.821944e-06, e(0)=1.714116e+06
